HISB64H3,Dept. of Historical & Cultural Studies (UTSC)
PSY406H5,Psychology
ARC465H1,John H. Daniels Faculty of Architecture, Landscape, & Design
CHMD39H3,Dept. of Physical & Environmental Sci (UTSC)
ECO461H5,Economics
SAN392Y5,Language Studies
ECO100Y5,Economics
BIO481Y5,Biology
MUZC02H3,Dept. of Arts, Culture & Media (UTSC)
BIO120H1,Ecology and Evolutionary Biology
LIN101H1,Linguistics
ECTD68H3,Language Studies (UTSC)
ENG238H5,English and Drama
ECO101H5,Economics
FRE181H5,Language Studies
SOC379H5,Sociology
MAT135H1,Mathematics
PLIC25H3,Language Studies (UTSC)
CSC358H5,Mathematical and Computational Sciences
CHM396H5,Chemical and Physical Sciences
RLG490Y1,Department for the Study of Religion
CIN290H5,Visual Studies
OMU720Y1,Faculty of Music
POLC39H3,Political Science (UTSC)
SOCB54H3,Sociology (UTSC)
VPSB56H3,Dept. of Arts, Culture & Media (UTSC)
VIS430Y1,John H. Daniels Faculty of Architecture, Landscape, & Design
CCT203H5,Institute of Communication and Culture
PPGB66H3,Political Science (UTSC)
ANT498H1,Anthropology
SOC318H5,Sociology
FREB84H3,Language Studies (UTSC)
PMDB32Y3,Biological Sciences (UTSC)
PHLC86H3,Philosophy (UTSC)
POLC37H3,Political Science (UTSC)
STA360H5,Mathematical and Computational Sciences
ECE532H1,Edward S. Rogers Sr. Dept. of Electrical & Computer Engin.
MGT438H5,Management
BIOA02H3,Biological Sciences (UTSC)
PSY400Y5,Psychology
GGR382H5,Geography, Geomatics and Environment
SOC244H5,Sociology
FAH317H5,Visual Studies
WRI307H5,Institute of Communication and Culture
GGR315H5,Geography, Geomatics and Environment
ANTD15H3,Anthropology (UTSC)
SOCC40H3,Sociology (UTSC)
ARC480H1,John H. Daniels Faculty of Architecture, Landscape, & Design
WRI380H5,Institute of Communication and Culture
PSL399Y1,Physiology
HIS382H5,Historical Studies
BME455H1,Institute of Biomedical Engineering
PMU282Y1,Faculty of Music
FAS258H5,Visual Studies
VIS321H1,John H. Daniels Faculty of Architecture, Landscape, & Design
ANT398Y0,Anthropology
PSY324H5,Psychology
PSY402H1,Psychology
PSY410H5,Psychology
MGT252H5,Management
FSL100H1,French
POLD58H3,Political Science (UTSC)
CCT273H5,Institute of Communication and Culture
CIV312H1,Civil and Mineral Engineering
SOC394H1,Sociology
SOC222H5,Sociology
ENG274H5,English and Drama
PSY333H5,Psychology
WRI363H5,Institute of Communication and Culture
FAS452H5,Visual Studies
GGR321H5,Geography, Geomatics and Environment
CHM362H5,Chemical and Physical Sciences
MIE463H1,Mechanical & Industrial Engineering
PSYC37H3,Psychology (UTSC)
VPSA62H3,Dept. of Arts, Culture & Media (UTSC)
VIS209H1,John H. Daniels Faculty of Architecture, Landscape, & Design
MATC63H3,Dept. of Computer & Mathematical Sci (UTSC)
CCT302H5,Institute of Communication and Culture
MSE301H1,Materials Science and Engineering
GGR317H5,Geography, Geomatics and Environment
ENG386H5,English and Drama
ENGC20H3,English (UTSC)
EMU154H1,Faculty of Music
TMU314Y1,Faculty of Music
ECE243H1,Edward S. Rogers Sr. Dept. of Electrical & Computer Engin.
RLG499H5,Historical Studies
LIN486H5,Language Studies
VCC392H5,Visual Studies
ECO359H1,Economics
OMU702Y1,Faculty of Music
JMU391Y1,Faculty of Music
PMU351Y1,Faculty of Music
RLG101H5,Historical Studies
GGR387H5,Geography, Geomatics and Environment
HLTB11H3,Health and Society (UTSC)
FSC303H5,Anthropology
MUZB66H3,Dept. of Arts, Culture & Media (UTSC)
SOC350H5,Sociology
CSCD94H3,Dept. of Computer & Mathematical Sci (UTSC)
ENGD27Y3,English (UTSC)
PSY362H5,Psychology
FAS334Y5,Visual Studies
MAT290H1,Edward S. Rogers Sr. Dept. of Electrical & Computer Engin.
AST251H1,Astronomy and Astrophysics
EESB05H3,Dept. of Physical & Environmental Sci (UTSC)
HIS201H5,Historical Studies
EDS100H5,Language Studies
HIS367H5,Historical Studies
IMI302H5,Institute for Management and Innovation
MGEB32H3,Management (UTSC)
RLG499Y5,Historical Studies
POL378H1,Political Science
OMU505H1,Faculty of Music
CSCB20H3,Dept. of Computer & Mathematical Sci (UTSC)
PHY433H5,Chemical and Physical Sciences
COPB31H3,Centre for Critical Development Studies (UTSC)
MAT305H5,Mathematical and Computational Sciences
MATD93H3,Dept. of Computer & Mathematical Sci (UTSC)
GGR377H5,Geography, Geomatics and Environment
JOUB19H3,Dept. of Arts, Culture & Media (UTSC)
CHE211H1,Chemical Engineering and Applied Chemistry
ARC253H1,John H. Daniels Faculty of Architecture, Landscape, & Design
HMB420H1,Human Biology Program
ESC499H1,Division of Engineering Science
HIS204H5,Historical Studies
EEB398H0,Ecology and Evolutionary Biology
